Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
50,1407.35,1407.35,4.74991,17.8867,0.466889
21,1495.75,1495.75,-1.53642,6.68121,0.0768414


Area HeatMap results for mesh 1
Signal range: 1407.35-1495.75 µm²
