Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
112,3109.56,3109.56,23.6774,5.63769,-4.17812
102,2828.74,2828.74,37.9179,4.51188,-5.60474


Volume HeatMap results for mesh 1
Signal range: 2828.74-3109.56 µm³
