Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
57,2982.92,2982.92,10.1012,3.96073,-3.12912
85,2924.94,2924.94,-4.27083,7.56181,-3.90951


Volume HeatMap results for mesh 1
Signal range: 2924.94-2982.92 µm³
