Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
57,1439.04,1439.04,9.97269,4.04293,-3.11074
85,1406.24,1406.24,-4.03187,7.68996,-3.87465


Area HeatMap results for mesh 1
Signal range: 1406.24-1439.04 µm²
