Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
45,3463.16,3463.16,-6.09768,-7.04355,-0.288203
111,3596.7,3596.7,8.9518,-4.81567,0.545464


Volume HeatMap results for mesh 1
Signal range: 3463.16-3596.7 µm³
