Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
114,4294.65,4294.65,6.20519,16.6194,1.74197
67,4244.56,4244.56,2.14772,0.735801,0.538555


Volume HeatMap results for mesh 1
Signal range: 4244.56-4294.65 µm³
