Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
44,3178.73,3178.73,6.10433,8.97062,-1.49071
343,3569.28,3569.28,21.175,5.53429,-1.31801


Volume HeatMap results for mesh 1
Signal range: 3178.73-3569.28 µm³
