Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
44,1482.1,1482.1,6.32216,9.11702,-1.5143
343,1603.68,1603.68,20.8239,5.44581,-1.29806


Area HeatMap results for mesh 1
Signal range: 1482.1-1603.68 µm²
