Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
1_4,circular,0.5,[np.float64(0.9644360793956915)],4141.562831979646
1_4,circular,0.4,[np.float64(0.9661937281009382)],4114.597136491762
1_4,circular,0.0,[np.float64(1.0001411730539629)],4008.598116222435
1_4,circular,0.1,[np.float64(0.9787683070433987)],4034.8256569079194
1_4,circular,0.3,[np.float64(0.9687778268644893)],4087.8222970939273
1_4,circular,0.2,[np.float64(0.9731710829945175)],4061.2367965337094
1_4,circular,2.0,[np.float64(0.9602767074447309)],4570.450884565806
1_4,circular,1.5,[np.float64(0.9599865013975843)],4422.1937258215185
1_4,circular,1.4,[np.float64(0.9600247323290859)],4393.205347555758
1_4,circular,1.6,[np.float64(0.9600292841308534)],4451.428135676423
1_4,circular,1.7,[np.float64(0.9600728924883795)],4480.859940314672
1_4,circular,1.3,[np.float64(0.9601160113117263)],4364.429633053155
1_4,circular,1.2,[np.float64(0.9602262804188304)],4335.8530791897065
1_4,circular,1.0,[np.float64(0.9606578834892865)],4279.326060253643
1_4,circular,1.1,[np.float64(0.9653304277403021)],4307.485204105559
1_4,oval,0.9,[np.float64(1.0301631666369555)],3745.6548068589736
1_4,oval,0.8,[np.float64(1.035871767918672)],3723.2555730791596
1_4,oval,1.9,[np.float64(1.0017471458457892)],3978.668786756572
1_4,oval,1.8,[np.float64(1.0033253391350332)],3954.6286544036775
1_4,oval,1.0,[np.float64(1.0253154609020743)],3768.217012014858
1_4,oval,1.1,[np.float64(1.0211596097153257)],3790.942032471612
1_4,oval,1.3,[np.float64(1.0144105895753424)],3836.893865543296
1_4,oval,1.2,[np.float64(1.0175400087801518)],3813.8271518662614
1_4,oval,1.6,[np.float64(1.0070372274496788)],3907.0482822005347
1_4,oval,1.7,[np.float64(1.0050670650999032)],3930.747836179115
1_4,oval,1.5,[np.float64(1.0091772370926546)],3883.484280208212
1_4,oval,1.4,[np.float64(1.0116330426018934)],3860.096729247269
1_4,oval,0.3,[np.float64(1.0918217805941575)],3613.7930330828317
1_4,oval,0.2,[np.float64(1.1097506914123463)],3592.4139096653153
1_4,oval,2.0,[np.float64(1.0003453668395197)],4002.890986917383
1_4,oval,0.0,[np.float64(1.250173104588784)],3550.2144749568306
1_4,oval,0.1,[np.float64(1.1292428329547488)],3571.2301636746092
1_4,oval,0.5,[np.float64(1.0610278174860128)],3657.0566059211956
1_4,oval,0.4,[np.float64(1.0746400633820072)],3635.361412466694
1_4,oval,0.6,[np.float64(1.0509931719770695)],3678.965089374913
1_4,oval,0.7,[np.float64(1.0426833905946704)],3701.026380723144
1_5,circular,0.8,[np.float64(2.2047043000005453)],5713.451727570752
