Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
114,1792.27,1792.27,6.15575,16.283,1.61941
67,1763.89,1763.89,2.04631,1.16715,0.491058


Area HeatMap results for mesh 1
Signal range: 1763.89-1792.27 µm²
