Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
86,1484.19,1484.19,-19.5062,-17.6641,3.51286
209,1650.84,1650.84,-25.8184,-29.8175,2.17372


Area HeatMap results for mesh 1
Signal range: 1484.19-1650.84 µm²
