Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
250,1470.66,1470.66,-7.42836,2.09374,-5.0904
17,1499.59,1499.59,7.63759,0.3451,-3.97891


Area HeatMap results for mesh 1
Signal range: 1470.66-1499.59 µm²
