Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
250,3237.85,3237.85,-7.59227,2.06391,-5.14489
17,3125.24,3125.24,7.84869,0.413041,-4.05785


Volume HeatMap results for mesh 1
Signal range: 3125.24-3237.85 µm³
