Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
112,1463,1463,24.0208,5.85786,-4.24265
102,1397.11,1397.11,37.5591,4.22226,-5.56033


Area HeatMap results for mesh 1
Signal range: 1397.11-1463 µm²
