Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
362,3113.3,3113.3,37.8971,-9.64196,-5.67114
259,2726,2726,23.9481,-6.03999,-5.08408


Volume HeatMap results for mesh 1
Signal range: 2726-3113.3 µm³
