Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
49,1478.24,1478.24,-25.6131,23.3431,-1.05006
7,1523.64,1523.64,-11.1506,20.7617,-1.38623


Area HeatMap results for mesh 1
Signal range: 1478.24-1523.64 µm²
