Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
49,3048.11,3048.11,-26.0319,23.0254,-1.04066
7,3228.78,3228.78,-10.7844,20.9232,-1.43433


Volume HeatMap results for mesh 1
Signal range: 3048.11-3228.78 µm³
