Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
566,3560.5,3560.5,0.243619,0.553921,0.300497
589,3743.82,3743.82,12.2467,-9.49991,0.861638


Volume HeatMap results for mesh 1
Signal range: 3560.5-3743.82 µm³
