Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
18,3748.52,3748.52,4.40633,3.11422,0.252134
186,3814.46,3814.46,1.4679,-11.7036,-0.00336015


Volume HeatMap results for mesh 1
Signal range: 3748.52-3814.46 µm³
