section_idx,aspect_ratio,area_polygon,area_ellipse,major_axis_length,minor_axis_length
5,0.6280987674311118,99.56848282945685,102.84329001098413,4.534475032828025,7.219366233393149
7,0.6494873936706957,108.39553424586478,111.4971128512704,4.801116424616214,7.3921626060851375
9,0.6730154895876383,118.73045084233928,122.5845943135405,5.124547707216314,7.614308714285555
11,0.700580881829877,122.14008946230612,123.36398087546647,5.245035019059492,7.486694477530935
13,0.7999110148975503,133.44861367961965,134.50952279503468,5.85224390749383,7.316118666328609
15,0.8975984344118796,149.27036467656006,149.70225532843648,6.540038101398675,7.286151413225013
17,0.9290071584507053,160.51526370895158,160.79113430665194,6.8954981035600555,7.422438073630778
19,1.0796738939858082,170.49956631345037,171.0759606056825,7.6677131502696305,7.10187881079805
21,1.0662508779698017,174.54155379738273,175.6611793697116,7.721339735874413,7.2415787835750765
23,0.9429947095925644,175.15161383679146,176.63690363164494,7.281492614352305,7.721668573833663
25,1.029694677335699,171.22834405557325,172.39080917471,7.516858095576059,7.300084443502886
27,1.0308233238699422,168.2320062673984,169.5461799927998,7.458666458702169,7.235639984066969
29,1.0366015478271193,171.12883475983043,172.01085943348744,7.533710423549358,7.267701306583234
31,1.0143764116938478,168.58135322445207,170.04487503815136,7.4097986713212975,7.304782116283746
33,0.9768694758950046,162.54434240798872,163.1202304171169,7.1219225507019965,7.290556954066882
35,0.9672045579314638,153.88905744730033,154.39548376399736,6.8944801758929,7.128254431139109
37,0.8481328344426011,139.35030207601375,140.79396035872537,6.165226190214651,7.269175228036633
39,0.7627978986793283,129.95599995191628,132.01662188278067,5.6616643065125,7.422233748041039
41,0.7470744208843682,120.68697360774101,122.90492384097416,5.406194147949733,7.23648674994121
44,0.6102719292785809,101.85533596226603,103.23481954028668,4.478162637509568,7.33797905927498
