section_idx,aspect_ratio,area_polygon,area_ellipse,major_axis_length,minor_axis_length
5,0.7354745994166408,137.88080310575657,138.76152011518965,5.699587525436553,7.749536870419885
7,0.7340163975745361,141.3596895692341,142.2808473981307,5.765688379276934,7.854985799130536
9,0.795950584678918,148.95370777925336,149.27748655986522,6.1498606295768665,7.726435218409552
11,0.8633494719871502,150.44872524425878,151.95324008855758,6.46209532217502,7.4849125781027865
13,1.1526995040190409,149.52180697776527,151.47249577644405,7.455040504997123,6.467462230185862
15,1.3346217086442522,151.24218943493153,155.06273932439694,8.116296087087226,6.0813457735016145
17,1.3850337638360013,143.30828448540439,145.96086945951276,8.02183019772709,5.791793967180815
19,1.421200024299903,127.97138970501814,128.90997880242355,7.6365277677953545,5.373295551101037
21,1.3960365045402072,113.6710804378753,114.23733286004983,7.1248787575036685,5.103647887667729
23,1.3961102880352347,106.1177933475937,106.53968206798768,6.880826790717439,4.928569647890011
25,1.389581866721803,104.10326067720112,104.78815969203316,6.808057880688903,4.899357169038166
27,1.3811072422037327,112.28835099767292,112.26882253604838,7.025356201892699,5.086756471338784
29,1.4167925490004154,121.11342064779863,121.51338134911559,7.402701690813833,5.22497220643674
31,1.4126886947784052,130.58888134930322,131.26698404254765,7.682915418504463,5.438505628948639
33,1.2991478723580323,133.16991276754794,134.58775842471744,7.460314511750151,5.742467559300411
35,1.1538130111689036,132.55086830381788,133.06465778981604,6.990755939888891,6.058829179614385
37,0.9489622882184635,129.63911618317292,130.14365111839734,6.269906058055791,6.607118255275047
39,0.8487343961888183,124.81639743214485,125.84094702354312,5.830716880538336,6.869895819847478
41,0.7413991723511432,123.07144137988234,123.90688203370058,5.4075286166214465,7.293680406295787
44,0.6803008792508644,123.70319500318847,124.97477329450481,5.202196572215223,7.646905554412618
