section_idx,aspect_ratio,area_polygon,area_ellipse,major_axis_length,minor_axis_length
5,0.7231789730918905,126.72529815796969,128.23032469799597,5.43304534533369,7.512725822357866
7,0.7479236103069973,128.7382093621795,129.89551435051928,5.560972689385756,7.43521479032219
9,0.7965340041569648,135.59201922511872,136.93909717200987,5.892382813255564,7.397528269357364
11,0.9017652079634286,145.79773196920794,146.27224501709287,6.479668155554491,7.185537985201661
13,0.9466640705415577,162.013190099935,162.4361210846115,6.996233825692164,7.390408111390381
15,1.1620858632368958,172.51015991401738,172.75919954983416,7.994011418147462,6.879019589723596
17,1.226480549258119,170.66026398430074,172.35351425918387,8.202863179058632,6.688131486488253
19,1.3419194352359753,158.91647026145657,160.86926296968954,8.289432913395146,6.177295518443294
21,1.479890049908599,144.7900353923731,145.32058931046188,8.273768476412943,5.590799449542855
23,1.522146031627064,135.6149594556782,136.28902667128335,8.126128179976174,5.338599589744967
25,1.4876841103006573,132.54407854752463,132.64684858777406,7.925540582633308,5.327435124000602
27,1.5141875451667233,130.37265820096945,130.9269839933944,7.943821562592511,5.246260007849845
29,1.5518320433322323,132.18719797102685,132.7157896209086,8.096712507967544,5.217518572809954
31,1.5299076667400344,137.9877616134512,138.37809833758016,8.20902074466448,5.365696847677394
33,1.3872617776946126,147.66839895044308,148.3407646162786,8.09346570100497,5.834130105173733
35,1.1777313428885092,151.7750574977051,152.2563035361317,7.555023526780753,6.414895529782936
37,0.9703046697664892,147.8629794938434,148.78856328756413,6.778972927483125,6.9864374960851565
39,0.8984539133184469,141.91826037772108,143.2226247954318,6.399982409180711,7.1233285473066985
41,0.8088444090111978,134.49937935480074,136.15668813707575,5.920754410195094,7.320016488008049
44,0.7096799169832076,126.2580963792939,129.07129157346893,5.3997188693511085,7.608667992614022
