section_idx,aspect_ratio,area_polygon,area_ellipse,major_axis_length,minor_axis_length
5,0.6403137454025629,136.67524354633238,137.0098363879212,5.284420271658326,8.252860897646404
7,0.6400974655095182,144.34091975230177,144.42958100904488,5.4247058401849335,8.474812247329963
9,0.6696455318723104,148.34421918960894,148.19508111567401,5.620364031255683,8.39304342932193
11,0.7742126866112004,145.81939648904975,146.188934123708,6.002227541154491,7.752685592671943
13,0.9221216469629961,144.2023358958097,145.42240747278365,6.533333645022826,7.085110371869409
15,1.0887691540529079,145.7617378436615,146.8664331894514,7.1343472130392325,6.5526720576918045
17,1.2363244326016998,144.24526822292296,145.38202055060523,7.563915001700096,6.118066425155672
19,1.3898067712761442,138.6147057052447,139.6130081105888,7.858962519286725,5.654715951679018
21,1.4911710895717667,121.44704980377303,121.6226687718656,7.597943604062366,5.0952862868635265
23,1.4657386534737031,110.82716339777667,110.91574568370685,7.193660467488813,4.907873890369417
25,1.397473975432855,110.63047630316133,110.75684582283507,7.0191127352081315,5.022714453794408
27,1.3262180843251368,112.52529714320525,113.06088102148561,6.90857885720577,5.2092328847417955
29,1.286514360987604,113.80941003309192,114.43785044652593,6.84569000034449,5.32111432871168
31,1.2368368450357188,117.94628745148268,118.42986306809789,6.828288850369656,5.520767656442561
33,1.2198465149472046,129.96612370998105,130.30585967792854,7.113111745556704,5.831153065895804
35,1.0445079201222223,138.3517369629053,140.0389283026887,6.823470552224341,6.532713080266446
37,0.8150833964943346,139.4203690238473,141.30366543554993,6.054841804016218,7.428493611890551
39,0.6719469667302825,132.42026626129748,134.78840364091957,5.3693143091588915,7.990681668355708
41,0.5856669142954565,123.68488407875711,125.14325145996058,4.830077799816576,8.247141304929348
44,0.5350959597233103,111.0809788488432,112.16105788397302,4.370810200761568,8.168273599041274
