section_idx,aspect_ratio,area_polygon,area_ellipse,major_axis_length,minor_axis_length
5,0.7405380104483609,110.73339520423322,111.44251061941401,5.1253577538982835,6.921127182648087
7,0.7385244851132003,112.06245911550477,113.68286894917821,5.169577202485205,6.999872457434932
9,0.7976678430358702,113.39296653035784,114.91849103528693,5.401707494718934,6.771875714784237
11,0.9116965982315131,120.20666632395445,121.57316243161193,5.939762604484135,6.515065007378488
13,0.9838041371491155,129.78116671816505,130.15015287487665,6.3841300770666285,6.489228735677683
15,1.1142625333311833,140.19803906885795,140.01700772597755,7.0470803554670844,6.3244344529823096
17,1.184339219587672,152.55203933230595,153.10234886138198,7.59720851057878,6.414723404350107
19,1.197365287869714,157.80204225063395,158.62576738765648,7.77544517539581,6.493795380714144
21,1.23096396708097,163.8034102202023,164.58492555889597,8.030503237925757,6.523751671601553
23,1.2634844547011366,169.34685842797242,170.48242222444168,8.280371439671072,6.553599776286684
25,1.2701437660491544,171.85592646465858,172.57885571704242,8.353054148034534,6.57646352429625
27,1.245559710619693,172.21559832165815,172.88495571863345,8.279153622143992,6.646934347310363
29,1.224308595181153,173.0315608256155,173.59570528171284,8.225077546350395,6.718140817375691
31,1.2154495778517709,174.42543796256092,174.8545805316695,8.224926848036247,6.766983178827769
33,1.196755140149902,171.1181692631665,171.5305299353684,8.083481134273908,6.75449878014428
35,1.1008813242036828,161.63725410994462,162.62909711062005,7.5490871868979585,6.857312428620364
37,0.923956441201379,148.97399042958955,149.91278162231643,6.640031560988803,7.1865201268093
39,0.8089879109452317,137.72361184506428,139.5184961746212,5.993934224172838,7.409176506938713
41,0.7314373769385464,125.47266538493265,128.90939858481704,5.478427635483098,7.489947613031789
44,0.7135476567797212,113.7882932305421,117.52963172104502,5.166664287302011,7.240811791912321
