file,side,section_idx,ellipse_fitted,ellipse_area,ellipse_aspect_ratio,major_axis_length,minor_axis_length,polygon_area,pca_aspect_ratio
Ac_DA_1_2,single_a,5,True,132.7877862829727,0.6762401653830277,5.346315821525987,7.905942437621688,131.70118120636795,0.7252340154236868
Ac_DA_1_2,single_a,7,True,133.58811099409283,0.681638688061015,5.383764865983231,7.898267748413538,131.83985306420556,0.6975945523284134
Ac_DA_1_2,single_a,9,True,138.06988415819896,0.7381326005151444,5.695629586425082,7.716268841736687,136.36626499432674,0.7238415508284395
Ac_DA_1_2,single_a,11,True,138.12415526202057,0.7605189731847485,5.782490230810892,7.603347759486055,137.4834926719949,0.7006840552724458
Ac_DA_1_2,single_a,13,True,144.88954763399815,1.3055105023015865,7.759500703663886,5.943652456249151,144.1959357423112,1.3670679688918452
Ac_DA_1_2,single_a,15,True,153.43301660319227,1.394185335606399,8.251724707446874,5.918671281862105,150.2765889473577,1.388740638569701
Ac_DA_1_2,single_a,17,True,157.97283697902478,1.4365240037799063,8.499095634321478,5.916431338395962,154.12976562256893,1.4519952941678853
Ac_DA_1_2,single_a,19,True,153.21744646440354,1.5608689216125646,8.724938821997004,5.589795979141603,150.72677676125738,1.5399374330905211
Ac_DA_1_2,single_a,21,True,145.07685100178827,1.6832756932109776,8.816612427492183,5.237770891037949,144.50595724028383,1.640081645765741
Ac_DA_1_2,single_a,23,True,140.42078668851266,1.7175922921412576,8.761950710972984,5.101298341325106,139.77457308223524,1.6713262778809024
Ac_DA_1_2,single_a,25,True,140.1380412282154,1.6576169980916202,8.59894519255065,5.187534395732208,139.51634229586003,1.6158482498192654
Ac_DA_1_2,single_a,27,True,145.7432582426029,1.5542769466077926,8.49148220076455,5.463300616596803,144.51237183888244,1.5018609059482193
Ac_DA_1_2,single_a,29,True,157.19160227067837,1.3580453042669534,8.24321947686872,6.069914936540538,152.2576788072971,1.388986702929683
Ac_DA_1_2,single_a,31,True,157.36014258951099,1.3312032145042734,8.165722419495093,6.134091572589784,153.53883543362286,1.3107408661620095
Ac_DA_1_2,single_a,33,True,158.30911106607766,1.2765215076281164,8.020327213772022,6.2829550194375186,155.531623762994,1.2237623659529833
Ac_DA_1_2,single_a,35,True,154.29804756826056,1.1459244131017265,7.502107187860791,6.546773157187995,151.77750698145766,0.8381165311741761
Ac_DA_1_2,single_a,37,True,141.87397497805648,0.8858986582887372,6.325115407716627,7.1397730976753655,140.24435123803693,0.7585453644104689
Ac_DA_1_2,single_a,39,True,133.19799486406464,0.7988487772740382,5.819775000141478,7.285202363331719,130.60985911818463,0.6861066899613485
Ac_DA_1_2,single_a,41,True,124.06177297507003,0.7330994281749804,5.380535432821754,7.339434769736986,120.50255098055818,0.6549451373657792
Ac_DA_1_2,single_a,44,True,111.10996783823052,0.6222878931691431,4.691343687033175,7.538863825779153,108.22559097363123,0.5664792589779889
Ac_DA_1_2,single_b,5,True,92.85844869528466,0.7725702233632731,4.778644888702345,6.1853857994930275,91.45622831312363,0.6723840919825085
Ac_DA_1_2,single_b,7,True,105.32269684719263,0.7403909850404344,4.982147835168499,6.729076847007278,102.51423478811475,0.661560951436511
Ac_DA_1_2,single_b,9,True,114.33747939387644,0.7478464708833276,5.217057157571965,6.976107210093239,112.94748524149547,0.6936081729229299
Ac_DA_1_2,single_b,11,True,121.78871262760099,0.8611191732312866,5.777769514760971,6.709605005170555,120.64646744294511,0.7671663509672346
Ac_DA_1_2,single_b,13,True,131.07529474137132,0.842175967700652,5.927709435706149,7.038563985493741,130.40616264154073,0.7461123142600522
Ac_DA_1_2,single_b,15,True,142.07394221419918,1.3185148657764616,7.721911050293531,5.856521796397166,141.35281535618762,1.352315267999634
Ac_DA_1_2,single_b,17,True,145.3811306042243,1.417998460193916,8.10059583328629,5.712697200093227,144.85518515279648,1.39779309689482
Ac_DA_1_2,single_b,19,True,136.83876190776417,1.502051968671105,8.088576757393401,5.385017912895201,136.5013428421206,1.4356756261319426
Ac_DA_1_2,single_b,21,True,130.59739218513297,1.603091827509956,8.163408252744379,5.092289856797788,129.82712440657374,1.4947445524556198
Ac_DA_1_2,single_b,23,True,125.96703229799641,1.6731818687288362,8.19077672299069,4.895329596903566,125.05115210240561,1.502199923986975
Ac_DA_1_2,single_b,25,True,123.39652852280203,1.7497260113089863,8.290134157066818,4.737961317077804,123.09675108432623,1.574607346395625
Ac_DA_1_2,single_b,27,True,132.09109170574595,1.6752228971479441,8.392630995437514,5.009859290799996,131.14702673383607,1.5591401237246478
Ac_DA_1_2,single_b,29,True,136.72549974372086,1.6538254113218867,8.483882669955365,5.129853859951444,136.14533981278592,1.5823461491153639
Ac_DA_1_2,single_b,31,True,142.65323227628042,1.638343242013247,8.62518301342259,5.264576306259058,142.00248714436594,1.597863032619258
Ac_DA_1_2,single_b,33,True,150.5173896235405,1.4309447869297265,8.27999054761733,5.7863801757041236,149.51426393795876,1.5078609897831567
Ac_DA_1_2,single_b,35,True,149.564251679142,1.3339850425881334,7.9691948361371905,5.973976155441551,147.90458617020215,1.4390801452142616
Ac_DA_1_2,single_b,37,True,141.14519044061365,0.7834102220830034,5.93270457402673,7.572922087041841,139.91344056306127,0.737202254432726
Ac_DA_1_2,single_b,39,True,132.96960173954955,0.7210205742337732,5.524272285755996,7.661740154400762,131.16678723129354,0.6931948480082428
Ac_DA_1_2,single_b,41,True,119.3315261843576,0.691746782502149,5.125972064935997,7.4101856265881105,117.45434584057125,0.7086007952007819
Ac_DA_1_2,single_b,44,True,102.6839468760384,0.690564326713906,4.7509275780984845,6.879775560817157,100.76671089618692,0.7474886223056271
Ac_DA_1_3,single_a,5,True,128.33081696234072,0.7243352981703893,5.439517370938576,7.509667670039476,126.72492180004534,0.7729129236187275
Ac_DA_1_3,single_a,7,True,129.89538111811484,0.7479226387782287,5.560966225708821,7.435215806267014,128.7380381460676,0.7727084141271446
Ac_DA_1_3,single_a,9,True,136.89631901269937,0.7969267538433941,5.892914668446923,7.394549925732514,135.5916994005069,0.8060647758400965
Ac_DA_1_3,single_a,11,True,146.3895289361799,0.9002022169982282,6.476645244075164,7.1946559581600225,145.7975779774468,0.8920876297151493
Ac_DA_1_3,single_a,13,True,162.43607844535495,0.9466653288458151,6.9962375571301045,7.390402229751031,162.01315090900363,0.8862175007664461
Ac_DA_1_3,single_a,15,True,172.77958016676726,1.1622836865848367,7.995163362480102,6.878839869096384,172.5103354187624,1.1904125962009506
Ac_DA_1_3,single_a,17,True,172.35378233586553,1.2264797289297305,8.202866815141206,6.688138924480487,170.66048637863435,1.249557800842375
Ac_DA_1_3,single_a,19,True,160.86945416325753,1.3419184612502941,8.289434831099733,6.1773014310990915,158.91665806536747,1.2861270120873327
Ac_DA_1_3,single_a,21,True,145.39601908096287,1.478903144242512,8.273155507513138,5.5941158416771195,144.79010746962203,1.3712371026959385
Ac_DA_1_3,single_a,23,True,136.28901455153922,1.522145495184877,8.126126386735882,5.338600293100692,135.61500295818252,1.4025709909079307
Ac_DA_1_3,single_a,25,True,132.6468656700466,1.487683823881048,7.925540330018159,5.327435979872474,132.54409045913206,1.393488975261221
Ac_DA_1_3,single_a,27,True,130.92692252766813,1.5141858233875773,7.943815181465713,5.246261759137063,130.3726382686796,1.4594669719679674
Ac_DA_1_3,single_a,29,True,132.75760193270716,1.5524192173055495,8.09951974027439,5.217353437773265,132.1871560440067,1.5055945623910552
Ac_DA_1_3,single_a,31,True,138.3781523901423,1.5299068503604116,8.209020157724176,5.3656993272435605,137.9878146114544,1.4479976687275862
Ac_DA_1_3,single_a,33,True,148.37181290593028,1.3865902793870217,8.092353407012105,5.836153279964965,147.66841994081977,1.3626271881202143
Ac_DA_1_3,single_a,35,True,152.25631333693474,1.1777291479259298,7.555016729709462,6.41490171404386,151.77506758569933,1.1967939652544843
Ac_DA_1_3,single_a,37,True,148.78384001663056,0.9685774934041833,6.772829331530577,6.992552870216554,147.86290815097271,0.9028577040895179
Ac_DA_1_3,single_a,39,True,143.22256916250754,0.898452926553242,6.399977651659896,7.123331075577096,141.91816323415586,0.8808430802091182
Ac_DA_1_3,single_a,41,True,136.11737231378777,0.8092422386466245,5.921355197496016,7.317160319509374,134.499240168661,0.8543167173050898
Ac_DA_1_3,single_a,44,True,129.0712248222263,0.7096796094381551,5.399716303072357,7.608667673779226,126.25801880954522,0.7614221744928603
Ac_DA_1_3,single_b,5,True,128.23032469799597,0.7231789730918905,5.43304534533369,7.512725822357866,126.72529815796969,0.7712564794742438
Ac_DA_1_3,single_b,7,True,129.89551435051928,0.7479236103069973,5.560972689385756,7.43521479032219,128.7382093621795,0.7727089301734101
Ac_DA_1_3,single_b,9,True,136.93909717200987,0.7965340041569648,5.892382813255564,7.397528269357364,135.59201922511872,0.7995090788689494
Ac_DA_1_3,single_b,11,True,146.27224501709287,0.9017652079634286,6.479668155554491,7.185537985201661,145.79773196920794,0.8882349244728985
Ac_DA_1_3,single_b,13,True,162.4361210846115,0.9466640705415577,6.996233825692164,7.390408111390381,162.013190099935,0.886216447535235
Ac_DA_1_3,single_b,15,True,172.75919954983416,1.1620858632368958,7.994011418147462,6.879019589723596,172.51015991401738,1.180362367424927
Ac_DA_1_3,single_b,17,True,172.35351425918387,1.226480549258119,8.202863179058632,6.688131486488253,170.66026398430074,1.2495566533377784
Ac_DA_1_3,single_b,19,True,160.86926296968954,1.3419194352359753,8.289432913395146,6.177295518443294,158.91647026145657,1.2861275959690868
Ac_DA_1_3,single_b,21,True,145.32058931046188,1.479890049908599,8.273768476412943,5.590799449542855,144.7900353923731,1.3705654456252976
Ac_DA_1_3,single_b,23,True,136.28902667128335,1.522146031627064,8.126128179976174,5.338599589744967,135.6149594556782,1.402570723491176
Ac_DA_1_3,single_b,25,True,132.64684858777406,1.4876841103006573,7.925540582633308,5.327435124000602,132.54407854752463,1.3934888068084323
Ac_DA_1_3,single_b,27,True,130.9269839933944,1.5141875451667233,7.943821562592511,5.246260007849845,130.37265820096945,1.4594682845288875
Ac_DA_1_3,single_b,29,True,132.7157896209086,1.5518320433322323,8.096712507967544,5.217518572809954,132.18719797102685,1.5074624064500697
Ac_DA_1_3,single_b,31,True,138.37809833758016,1.5299076667400344,8.20902074466448,5.365696847677394,137.9877616134512,1.4479972002259094
Ac_DA_1_3,single_b,33,True,148.3407646162786,1.3872617776946126,8.09346570100497,5.834130105173733,147.66839895044308,1.3722301376974069
Ac_DA_1_3,single_b,35,True,152.2563035361317,1.1777313428885092,7.555023526780753,6.414895529782936,151.7750574977051,1.1967950507822869
Ac_DA_1_3,single_b,37,True,148.78856328756413,0.9703046697664892,6.778972927483125,6.9864374960851565,147.8629794938434,0.9019624872707839
Ac_DA_1_3,single_b,39,True,143.2226247954318,0.8984539133184469,6.399982409180711,7.1233285473066985,141.91826037772108,0.8808444625471505
Ac_DA_1_3,single_b,41,True,136.15668813707575,0.8088444090111978,5.920754410195094,7.320016488008049,134.49937935480074,0.8560856986018338
Ac_DA_1_3,single_b,44,True,129.07129157346893,0.7096799169832076,5.3997188693511085,7.608667992614022,126.2580963792939,0.7614223454701031
Ac_DA_1_4,single_a,5,True,114.8235439940973,0.7174554462581065,5.120802256455341,7.137449834917161,108.70282578179301,0.6732196478964467
Ac_DA_1_4,single_a,7,True,120.3368848649294,0.7524800230525253,5.36873457517919,7.134720405467079,116.85106374920528,0.6958907240935559
Ac_DA_1_4,single_a,9,True,126.9618182590723,0.8471213263202845,5.851058469293671,6.906989928714732,122.7888639088277,0.7721436294852171
Ac_DA_1_4,single_a,11,True,129.6319135622288,0.970238188418376,6.327326011786792,6.5214151404421825,128.41048394614177,0.8451741976283195
Ac_DA_1_4,single_a,13,True,142.53159858261412,1.1396738494529604,7.1906960787289025,6.30943324897769,141.3487347356231,1.234291973705815
Ac_DA_1_4,single_a,15,True,151.87842257676894,1.2538553514392765,7.785684871639522,6.209396373116312,151.22622145293923,1.2803873057181758
