section_idx,aspect_ratio,area_polygon,area_ellipse,major_axis_length,minor_axis_length
5,0.7812654207077971,116.22996530379933,118.26740697756469,5.423216003029267,6.941579467469629
7,0.7660584871952439,119.89037741647363,122.29734452454912,5.460903994695358,7.128573191179262
9,0.8133833953820285,127.13306947954747,129.30375762322737,5.785998114105979,7.113494259848299
11,0.907103250187672,135.63242190940315,137.00216218345787,6.289514690110722,6.933626010941395
13,1.107102961713268,144.71168576334554,147.264268299307,7.203901431609062,6.506984156614354
15,1.2424695672668553,149.07869256992944,150.81239677777106,7.723007643703454,6.215852562644475
17,1.4248604539848277,147.57415132873086,148.71978876823096,8.21288251228189,5.763990774895451
19,1.558972794082103,139.60209753548665,139.96577289647792,8.334033755287402,5.345849386803662
21,1.617027963809883,134.75154195677936,135.99370547405783,8.366488770965226,5.1739913954567145
23,1.5812940691207646,139.49770946480777,141.15301550097942,8.429007979318959,5.330449373028812
25,1.5509009292222646,138.71139166291948,141.72782459811714,8.364589883101887,5.393374731741573
27,1.5447349162376705,131.4516949971289,133.28103507462362,8.095361064578128,5.240615059245925
29,1.5235445559503697,124.0739294811118,125.60743513606386,7.804773737266195,5.122773539365028
31,1.4990562112440604,116.72428666398545,117.59108883147749,7.4906797259563795,4.996930515193887
33,1.3936328144975878,114.59963981672519,116.15965283070878,7.178387494915195,5.150845631819485
35,1.2069563175706315,115.26113403902119,117.3709550060701,6.715079504534079,5.563647504700277
37,0.8345348112396123,113.60980150965233,114.99870863584903,5.527054844226571,6.622917066834781
39,0.7506178530078785,112.77689119315144,113.91361215908853,5.217017820098188,6.950298076701127
41,0.7129237448781627,111.19815911803082,111.76840466641023,5.0362366541334085,7.064201031758441
44,0.6846017857300671,97.98427437773927,99.87414596287849,4.66520375784308,6.814477927293241
