section_idx,aspect_ratio,area_polygon,area_ellipse,major_axis_length,minor_axis_length
5,0.6182785378494926,92.87881313092171,95.12327119130208,4.32673740026194,6.998039128628457
7,0.6298939190400384,95.68754947815489,98.07108483260694,4.434342776244914,7.039824710489149
9,0.6515549540587697,105.22350544409977,107.38609644443031,4.719267741497992,7.2430847346029354
11,0.7439887187502164,120.13264614700569,122.52202407642878,5.386607360521894,7.2401734391491095
13,0.8945546258758936,123.60934300485917,125.20992736409887,5.971011098026577,6.674842346469479
15,0.9264918162359346,127.53686955614519,128.20319156115306,6.148869498922538,6.636722949052694
17,1.2190979296324098,136.24333606972,136.99533101667657,7.291170322998391,5.980791325924794
19,1.3197690841328629,139.74023177457173,141.53974900121162,7.7110452127538665,5.842723022884195
21,1.3626015920810777,140.666500899916,141.79910603101277,7.842350638651161,5.75542453805127
23,1.3699257669521627,129.94804614056812,130.6053181470102,7.546646575113246,5.508799642409216
25,1.3797540442655838,130.111025594382,130.3273912992947,7.565606560995707,5.483300877021695
27,1.4499747493464288,134.74620607196863,135.34392773106558,7.90359487858448,5.450850011110193
29,1.3586566969232614,148.07942857377674,149.22687124672544,8.033475014523948,5.912807137164311
31,0.8590134221116712,153.84406362047514,154.612182257103,6.501998927657249,7.569147070686857
33,0.9916479988363283,150.20797394664578,151.25463776006148,6.90968395543021,6.967879694749079
35,0.8515770484353569,142.81045010935458,144.51242053075944,6.258779123533686,7.3496334066697075
37,0.8002697167341913,125.51349843787015,128.3772821378447,5.71856871009501,7.145801709743348
39,0.7751049921662283,103.35964587954199,106.49658800074624,5.125935977453764,6.613215021526349
41,0.7585390002921029,87.29436606650961,87.73705906443656,4.602624633848984,6.067749492216717
44,0.7096819772276881,68.638823708224,69.99381758086147,3.976370035203384,5.603030882560571
