section_idx,aspect_ratio,area_polygon,area_ellipse,major_axis_length,minor_axis_length
5,0.7011106766147076,142.8818525831514,143.26698384614497,5.654463603319242,8.065008552746129
7,0.7059749749705775,143.07113929912137,143.50287096823706,5.678714199512574,8.043789653803582
9,0.7711700479554067,145.62654187890115,146.47719697854268,5.996324822060156,7.77561944730366
11,0.9186319634434406,143.25673592326058,143.4231006143151,6.475978428444625,7.049589700939408
13,1.1237668841950526,144.14024267459519,144.51440999272072,7.189832215961937,6.397974808727319
15,1.3534645433649397,145.865798217116,146.2875943496584,7.938752349127569,5.865504484802018
17,1.5120261810066427,142.51458483491209,143.07572516653232,8.298272594341377,5.488180494875254
19,1.5856693627741087,138.8795752928317,140.51945885247954,8.421697066551866,5.311130595232169
21,1.5367178744346721,130.8744783814941,131.8729094812892,8.03156038771686,5.22643780054391
23,1.4604248555959694,130.12043770539685,130.30995989929045,7.78311553167861,5.329350224255449
25,1.40114943128775,133.52246177750163,134.0157871065495,7.731170867921337,5.517734722138719
27,1.4101736048319804,144.14427125031716,145.30770255481042,8.076174098691007,5.727077908009254
29,1.427635081249181,152.5381556578564,152.8946388413466,8.335464342497948,5.838651944027892
31,1.3494204689014362,157.47909523340243,157.61922561426218,8.228170932214326,6.097559005395023
33,1.2353764126452247,162.39087125905587,162.5026972849492,7.993831748413818,6.470766048784425
35,0.9182434449006212,165.42528850782213,165.4476676151829,6.953993918847985,7.573148447142572
37,0.9065766785553571,160.45718609304592,160.82930916212553,6.812553615733319,7.5145917349089775
39,0.7984166368121135,152.1033273115226,152.35836186191372,6.222615978876286,7.7936952863628965
41,0.7434440297645065,143.86840462671,145.3266819763193,5.864377000116311,7.888121721784372
44,0.6929295625223878,130.40965400120623,131.1159272726139,5.377709447957668,7.760831315064466
