section_idx,aspect_ratio,area_polygon,area_ellipse,major_axis_length,minor_axis_length
5,0.6618780125398375,104.45355110043576,106.411636008726,4.734875901239135,7.1536987353151416
7,0.7189877138925882,110.7224537515763,112.8845580860582,5.082800533519565,7.069384407142874
9,0.7930121684286049,119.30091936935307,120.83514126624452,5.522829251827164,6.964368860532039
11,0.8849683341615896,130.61003685643192,132.34724299787734,6.105853481000524,6.899516338949178
13,1.087431012295285,142.9434827806898,144.74750475368887,7.078340719376389,6.509231978252897
15,1.2909281952522886,144.21001894806483,145.7504117486151,7.738931489538032,5.994858209774865
17,1.4812807449837508,139.9402700344105,141.09611355949954,8.15645187581938,5.506351110983255
19,1.5056506396291371,138.14950136934186,139.85637173286614,8.18706613744736,5.437560295835924
21,1.5233901964826406,135.32446425378862,139.1559665872672,8.214508021212474,5.392254748769535
23,1.57275058608978,132.67575621540243,137.05243949288058,8.28320436753282,5.266699272468099
25,1.6048044634844052,132.22081708368552,136.93961616626572,8.363742983785112,5.211689756660742
27,1.5809341204116842,133.09012556744713,136.63653263546914,8.292115950337381,5.245073683511914
29,1.496154709422678,141.31531534826797,144.10114016548422,8.28413226329244,5.536948960638598
31,1.4146920655633746,149.25984416920545,150.2143129525551,8.224541198307714,5.813661784433946
33,1.2783800413664235,151.08759910595217,151.88389526670596,7.861599543106278,6.149657604716077
35,1.1926224852546392,150.17856123168474,150.6365516152079,7.562088276453312,6.340722542086497
37,0.8847314538573166,149.81118386293454,149.57955698122848,6.490332087956723,7.335934604404197
39,0.8438869948249603,150.64919782207872,150.77960473775116,6.364122211583883,7.54143890190408
41,0.8349511507229472,150.62670361198593,151.3761171784247,6.342847620537033,7.596669116564534
44,0.7936555512514023,146.2511414518767,146.8305390913491,6.090448699728835,7.673919359759627
