section_idx,aspect_ratio,area_polygon,area_ellipse,major_axis_length,minor_axis_length
5,0.7403866984432367,112.16164271760198,113.00878276049082,5.160722013431315,6.97030622549329
7,0.7681179646141534,112.44602692341053,113.70351417270881,5.272613879921819,6.864328296982868
9,0.8366213462013069,116.51745161532943,118.47219377192572,5.61691367719754,6.713806314769794
11,0.8594748656843126,122.89549321677498,124.51494689700579,5.836498764088453,6.790773060526257
13,1.2725114449082473,131.109143841726,132.56007591251705,7.327608946682013,5.758383530460397
15,1.4547355864663325,140.38013711635344,141.7585368223336,8.101990060775043,5.56939016007398
17,1.7057897906510857,146.36496449015638,147.25920973944528,8.941884415685935,5.242078751258614
19,1.7401294735833113,143.47504136285954,143.82889708337177,8.925630831355438,5.129291220483491
21,1.814437229431421,137.46170359910974,136.42441098181624,8.876506624390888,4.892154151385256
23,1.8800560089217973,135.56953234634258,136.0218746145603,9.022249552477975,4.798925941388411
25,1.9050708384328923,136.52433123127753,136.66634157543942,9.103563223819163,4.778595651229294
27,1.897742946158691,139.9334641846034,140.05040143765575,9.197841800191098,4.846726907249938
29,1.8504835322337179,142.42470647957197,143.28500497858857,9.186880082328125,4.964583538465023
31,1.7162954998332094,143.4647330499604,144.68358600645308,8.890592967639243,5.180106204615252
33,1.4202226314066786,147.63292406687395,147.64226385069426,8.169747346829107,5.752441318821452
35,1.1636236435870697,152.3319356872278,152.63717734149841,7.51902441950847,6.461732245599432
37,1.038407363126737,151.43101777273904,152.30877939668397,7.095310605898658,6.83287778751303
39,0.8372797373496154,141.95574913023285,143.68703964243687,6.188268556716199,7.390921194755033
41,0.7426073818168288,130.49154351507036,131.9185445958227,5.584157002394692,7.519662663105707
44,0.7353245300344198,124.52936365300096,125.91990239523574,5.428899222634061,7.382997575750587
