section_idx,aspect_ratio,area_polygon,area_ellipse,major_axis_length,minor_axis_length
5,0.6948730386552631,140.99446914783283,143.72993651818243,5.638341950437227,8.114204519071135
7,0.7028096142694913,142.36530407361002,144.96942608190997,5.694847783570005,8.102973647407055
9,0.750972447643566,149.18137527084264,151.83927730501134,6.024612650788827,8.022415029596782
11,0.8045479503977293,158.09937036333773,161.20990568973113,6.425351517724817,7.986287845924455
13,1.2178317367162297,164.22471571374217,166.27146883244825,8.02837359915745,6.592350451307185
15,1.3209720445820865,159.94090753117166,161.12188410330498,8.230934448009151,6.230967931356304
17,1.4766861868957548,150.0113822466359,150.5033755169314,8.41089652527486,5.695791428073146
19,1.4821295393673297,142.21418237200368,145.00845714879662,8.271129318711644,5.580571130268617
21,1.5564563392565525,136.66499776663215,139.0399649760379,8.299718444208096,5.332445398482871
23,1.6047567869986685,131.85016256309999,134.64179344375856,8.29315186203868,5.167855920116798
25,1.6555377183883526,133.16262972848656,135.3597880295571,8.445773618297945,5.101528962154853
27,1.6928838803790514,128.57564101360663,131.47716880268408,8.417125842165612,4.972063317349885
29,1.6169802228053027,123.77322827394326,125.11568652207731,8.024783036301297,4.962820771165081
31,1.514327323016715,119.1191622792127,121.95081521784451,7.667032368758136,5.062995464867214
33,1.3573784255974524,125.46816110354385,127.720996949064,7.428595051089515,5.472751674110193
35,1.1242991506241489,124.08747352587848,125.3571649049437,6.697929711133573,5.957426639889617
37,1.1259449125170193,120.85100803112053,122.28231854929089,6.620113988899335,5.87960735494621
39,0.8032306570795246,121.79713307342163,122.93125121434998,5.606300244269172,6.9796890779208836
41,0.7207259548155159,122.06667197545735,123.49505751109939,5.3227360829546795,7.385242681203481
44,0.6494633210683077,116.86294832301972,118.37914579854649,4.946978001001082,7.617024457768849
