section_idx,aspect_ratio,area_polygon,area_ellipse,major_axis_length,minor_axis_length
5,1.301210391876224,128.04766787217065,129.6001428354702,7.326584540846306,5.630591783302664
7,0.8052272369319352,136.0512853009175,137.4265456312898,5.934984745009672,7.37057127826806
9,0.8399929859552584,144.00660171227187,145.11731415650112,6.229059932074173,7.415609458917505
11,1.1333086704792714,149.8067120433327,151.31355938890877,7.388190638188806,6.519133604673095
13,1.1723685538713071,157.6680057414145,158.73997942248576,7.696624590135434,6.56502135332803
15,1.2946732962631315,164.28389263154497,165.8318181799232,8.266831583664569,6.385264612721574
17,1.4949174318541207,163.3951414812616,164.38138263659445,8.84422904423727,5.916199019278224
19,1.6525694593560676,157.01198516115704,158.6462285900814,9.13523662287524,5.527898734395608
21,1.7002846082602903,149.88559906817576,151.64849281453894,9.05951450219791,5.328234142793006
23,1.730815537187599,145.75739206446667,146.7762560797038,8.992456777463945,5.195502688909173
25,1.6850890695448104,142.83106578747498,147.4489268363922,8.893184500845175,5.277575329147124
27,1.7158921502577456,140.71023632591636,141.77428154650894,8.799718611733757,5.128363464109294
29,1.64216338277637,144.37217070470348,145.31041098701618,8.715285352341908,5.307197471184119
31,1.6165668066394991,146.8868702353845,147.992554898331,8.726534823287274,5.398190033004511
33,1.4602417463924544,151.97154675947718,153.94222153002082,8.458947285305975,5.792840333598125
35,1.2411573707886325,153.49384558057753,154.24428308974117,7.806260271789549,6.289500796203985
37,0.9832877342423835,156.21164157530757,157.79976821099768,7.0277864282453955,7.147232883628165
39,0.8730046359919111,154.596025912127,155.8480330419492,6.580880449828401,7.538196452245846
41,0.8193419804242233,152.99335775302796,154.22499588038175,6.342128701209698,7.740514770067062
44,0.7330670473996687,144.7695133248033,145.55356174498576,5.827849543046535,7.949954323713023
