Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
177,1532.7,1532.7,-4.35026,7.78394,-4.56495
45,1578.52,1578.52,10.3344,4.15689,-3.92423


Area HeatMap results for mesh 1
Signal range: 1532.7-1578.52 µm²
