Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
3,1629.82,1629.82,-1.53936,-8.6418,-0.611933
23,1571.62,1571.62,13.2681,-4.19842,-0.74795


Area HeatMap results for mesh 1
Signal range: 1571.62-1629.82 µm²
