Mesh ID,Cross-section type,Pressure,Cross section,Aspect Ratio
2_7,oval,1.1,"[[-3.06705e+00  1.72621e-05]
 [-3.06972e+00  1.82999e-01]
 [-3.07772e+00  3.65960e-01]
 ...
 [-3.09106e+00 -5.48834e-01]
 [-3.07771e+00 -3.65918e-01]
 [-3.06971e+00 -1.82958e-01]]",1.0233639303003301
2_3,circular,1.7,"[[-4.01632e+00  1.83913e-06]
 [-4.02007e+00  2.61548e-01]
 [-4.03133e+00  5.22846e-01]
 ...
 [-4.05009e+00 -7.83648e-01]
 [-4.03133e+00 -5.22844e-01]
 [-4.02007e+00 -2.61546e-01]]",0.9553057515901339
1_8,circular,1.0,"[[-3.58882e+00  2.12488e-07]
 [-3.59255e+00  2.58438e-01]
 [-3.60371e+00  5.16641e-01]
 ...
 [-3.62230e+00 -7.74374e-01]
 [-3.60371e+00 -5.16640e-01]
 [-3.59254e+00 -2.58437e-01]]",0.9588408231835364
2_1,oval,1.6,"[[-4.81531e+00  1.48362e-04]
 [-4.81801e+00  1.72172e-01]
 [-4.82611e+00  3.44178e-01]
 ...
 [-4.83965e+00 -5.15848e-01]
 [-4.82613e+00 -3.43879e-01]
 [-4.81802e+00 -1.71873e-01]]",1.0455216094132724
3_4,circular,1.7,"[[-1.30738e+00 -6.69369e-04]
 [-1.31168e+00  3.01343e-01]
 [-1.32459e+00  6.03069e-01]
 ...
 [-1.34611e+00 -9.05559e-01]
 [-1.32460e+00 -6.04406e-01]
 [-1.31170e+00 -3.02680e-01]]",0.9534320357357202
1_2,circular,0.1,"[[-2.85557e+00 -1.99165e-07]
 [-2.85953e+00  2.63744e-01]
 [-2.87142e+00  5.27246e-01]
 ...
 [-2.89122e+00 -7.90264e-01]
 [-2.87142e+00 -5.27246e-01]
 [-2.85953e+00 -2.63744e-01]]",0.9846595600307485
2_6a,circular,0.9,"[[-1.85012e+00  3.91661e-06]
 [-1.85409e+00  2.87458e-01]
 [-1.86600e+00  5.74646e-01]
 ...
 [-1.88583e+00 -8.61300e-01]
 [-1.86600e+00 -5.74643e-01]
 [-1.85409e+00 -2.87455e-01]]",0.9536635611377992
1_3,oval,0.9,"[[-3.41779e+00  8.16285e-05]
 [-3.42098e+00  1.88236e-01]
 [-3.43056e+00  3.76374e-01]
 ...
 [-3.44654e+00 -5.64319e-01]
 [-3.43056e+00 -3.76218e-01]
 [-3.42098e+00 -1.88080e-01]]",1.0905562100557118
1_2,circular,0.3,"[[-2.83131e+00 -2.76012e-06]
 [-2.83526e+00  2.69733e-01]
 [-2.84710e+00  5.39227e-01]
 ...
 [-2.86681e+00 -8.08246e-01]
 [-2.84710e+00 -5.39233e-01]
 [-2.83526e+00 -2.69738e-01]]",0.9699727726981725
2_1,oval,1.4,"[[-4.81942e+00  1.48972e-04]
 [-4.82213e+00  1.69956e-01]
 [-4.83027e+00  3.39742e-01]
 ...
 [-4.84388e+00 -5.09183e-01]
 [-4.83029e+00 -3.39443e-01]
 [-4.82214e+00 -1.69658e-01]]",1.054046654741186
1_4,oval,0.9,"[[-2.86186e+00  1.58287e-06]
 [-2.86502e+00  2.00233e-01]
 [-2.87450e+00  4.00373e-01]
 ...
 [-2.89030e+00 -6.00320e-01]
 [-2.87450e+00 -4.00366e-01]
 [-2.86502e+00 -2.00226e-01]]",1.040784007579564
3_4,circular,1.5,"[[-1.37182e+00 -6.69640e-04]
 [-1.37603e+00  2.96880e-01]
 [-1.38865e+00  5.94152e-01]
 ...
 [-1.40971e+00 -8.92206e-01]
 [-1.38867e+00 -5.95489e-01]
 [-1.37604e+00 -2.98217e-01]]",0.9531108559257537
1_8,circular,1.2,"[[-3.53584e+00 -5.48147e-07]
 [-3.53962e+00  2.62570e-01]
 [-3.55095e+00  5.24899e-01]
 ...
 [-3.56984e+00 -7.86746e-01]
 [-3.55095e+00 -5.24899e-01]
 [-3.53962e+00 -2.62570e-01]]",0.9577588334648088
3_2,circular,0.9,"[[-1.56845e+00  2.70434e-06]
 [-1.57248e+00  2.92823e-01]
 [-1.58458e+00  5.85383e-01]
 ...
 [-1.60475e+00 -8.77416e-01]
 [-1.58458e+00 -5.85378e-01]
 [-1.57248e+00 -2.92818e-01]]",0.9530924147334664
2_3,circular,1.5,"[[-4.06160e+00  3.38352e-07]
 [-4.06530e+00  2.57825e-01]
 [-4.07637e+00  5.15410e-01]
 ...
 [-4.09483e+00 -7.72512e-01]
 [-4.07637e+00 -5.15409e-01]
 [-4.06530e+00 -2.57825e-01]]",0.955604379799162
2_7,oval,1.3,"[[-3.04709e+00  1.65962e-05]
 [-3.04976e+00  1.85309e-01]
 [-3.05776e+00  3.70582e-01]
 ...
 [-3.07111e+00 -5.55773e-01]
 [-3.05776e+00 -3.70540e-01]
 [-3.04975e+00 -1.85268e-01]]",1.0170886880242445
3_6,oval,1.0,"[[-2.61214e+00 -4.60408e-04]
 [-2.61535e+00  2.29668e-01]
 [-2.62500e+00  4.59741e-01]
 ...
 [-2.64112e+00 -6.90635e-01]
 [-2.62500e+00 -4.60673e-01]
 [-2.61533e+00 -2.30599e-01]]",1.005420044221964
