Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end, Volume_1_start, Volume_2_start, Volume_1_end, Volume_2_end
2_1,0.91,73.34,88.87,0,0,0,0,2982.92,2924.95,3626.3,3591.34
2_3,0.01,73.39,78.83,0,0,0,0,3178.74,3569.28,3313.49,3778.79
2_3,0.11,73.39,85.48,0,0,0,0,3178.74,3569.28,3456.01,3997.37
2_3,0.21,73.39,88.21,0,0,0,0,3178.74,3569.28,3516.98,4083.76
2_3,0.31,73.39,90.22,0,0,0,0,3178.74,3569.28,3566.44,4153
2_3,0.41,73.39,91.7,0,0,0,0,3178.74,3569.28,3609.89,4214.18
2_3,0.51,73.39,93.13,0,0,0,0,3178.74,3569.28,3650.21,4268.88
2_3,0.61,73.39,94.24,0,0,0,0,3178.74,3569.28,3688.04,4319.4
2_3,0.71,73.39,95.25,0,0,0,0,3178.74,3569.28,3724.37,4368.27
2_3,0.81,73.39,96.17,0,0,0,0,3178.74,3569.28,3759.91,4415.09
2_3,0.91,73.39,96.8,0,0,0,0,3178.74,3569.28,3794.81,4460.66
2_4,0.01,17.45,18.86,0,0,0,0,3237.84,3125.24,3521.32,3452.72
2_4,0.11,17.45,21.15,0,0,0,0,3237.84,3125.24,3770.06,3729.84
2_4,0.21,17.45,22.14,0,0,0,0,3237.84,3125.24,3859.49,3814.17
2_4,0.31,17.45,22.85,0,0,0,0,3237.84,3125.24,3932.46,3883.17
2_4,0.41,17.45,23.41,0,0,0,0,3237.84,3125.24,4006.47,3939.82
2_4,0.51,17.45,23.85,0,0,0,0,3237.84,3125.24,4066.1,3996.6
2_4,0.61,17.45,24.22,0,0,0,0,3237.84,3125.24,4120.58,4051.66
2_4,0.71,17.45,24.57,0,0,0,0,3237.84,3125.24,4173.6,4103.18
2_4,0.81,17.45,24.88,0,0,0,0,3237.84,3125.24,4223.74,4153.39
2_4,0.91,17.45,25.09,0,0,0,0,3237.84,3125.24,4272.82,4201.72
2_6a,0.01,20.96,25.6,0,0,0,0,3048.1,3228.79,3405.09,3653.91
2_6a,0.11,20.96,29.87,0,0,0,0,3048.1,3228.79,3643.3,3924.94
2_6a,0.21,20.96,31.21,0,0,0,0,3048.1,3228.79,3736.38,4008.77
2_6a,0.31,20.96,32.22,0,0,0,0,3048.1,3228.79,3802.5,4079.07
2_6a,0.41,20.96,32.94,0,0,0,0,3048.1,3228.79,3862,4137.57
2_6a,0.51,20.96,33.66,0,0,0,0,3048.1,3228.79,3917.29,4192.45
2_6a,0.61,20.96,34.18,0,0,0,0,3048.1,3228.79,3968.07,4244.31
2_6a,0.71,20.96,34.58,0,0,0,0,3048.1,3228.79,4015.38,4295.01
2_6a,0.81,20.96,35.03,0,0,0,0,3048.1,3228.79,4061.88,4343.63
2_6a,0.91,20.96,35.4,0,0,0,0,3048.1,3228.79,4107.15,4390.93
2_6b,0.01,13.96,14.89,0,0,0,0,3113.3,2725.99,3402.16,3004.08
2_6b,0.11,13.96,16.11,0,0,0,0,3113.3,2725.99,3628.33,3207.55
2_6b,0.21,13.96,16.69,0,0,0,0,3113.3,2725.99,3718.07,3276.19
2_6b,0.31,13.96,17.12,0,0,0,0,3113.3,2725.99,3785.33,3328.65
2_6b,0.41,13.96,17.5,0,0,0,0,3113.3,2725.99,3843.77,3373.65
2_6b,0.51,13.96,17.78,0,0,0,0,3113.3,2725.99,3896.82,3416.24
2_6b,0.61,13.96,18.04,0,0,0,0,3113.3,2725.99,3947.14,3456.48
2_6b,0.71,13.96,18.23,0,0,0,0,3113.3,2725.99,3995.39,3495.07
2_6b,0.81,13.96,18.36,0,0,0,0,3113.3,2725.99,4042,3532.66
2_6b,0.91,13.96,18.51,0,0,0,0,3113.3,2725.99,4087.33,3569.45
2_7a,0.01,48.23,51.1,0,0,0,0,3109.56,2828.75,3252.8,2957.04
2_7a,0.11,48.23,56.3,0,0,0,0,3109.56,2828.75,3427.14,3121.15
2_7a,0.21,48.23,58.7,0,0,0,0,3109.56,2828.75,3492.88,3187.08
2_7a,0.31,48.23,60.39,0,0,0,0,3109.56,2828.75,3545.19,3238.54
2_7a,0.41,48.23,61.76,0,0,0,0,3109.56,2828.75,3591.03,3283.28
2_7a,0.51,48.23,62.85,0,0,0,0,3109.56,2828.75,3632.71,3324.91
2_7a,0.61,48.23,63.74,0,0,0,0,3109.56,2828.75,3672.65,3362.48
2_7a,0.71,48.23,64.68,0,0,0,0,3109.56,2828.75,3710.51,3399.26
2_7a,0.81,48.23,65.38,0,0,0,0,3109.56,2828.75,3747.39,3434.54
2_7a,0.91,48.23,66.1,0,0,0,0,3109.56,2828.75,3783.39,3468.52
3_1,0.01,21.98,23.56,0,0,0,0,3301.1,3128.33,3455.84,3278
3_1,0.11,21.98,25.8,0,0,0,0,3301.1,3128.33,3626.3,3437.35
3_1,0.21,21.98,26.95,0,0,0,0,3301.1,3128.33,3698,3505.85
3_1,0.31,21.98,27.74,0,0,0,0,3301.1,3128.33,3756.23,3561.04
3_1,0.41,21.98,28.38,0,0,0,0,3301.1,3128.33,3806.83,3610.94
3_1,0.51,21.98,28.88,0,0,0,0,3301.1,3128.33,3854.48,3654.82
3_1,0.61,21.98,29.32,0,0,0,0,3301.1,3128.33,3898.54,3696.7
3_1,0.71,21.98,29.73,0,0,0,0,3301.1,3128.33,3941,3736.72
3_1,0.81,21.98,30.04,0,0,0,0,3301.1,3128.33,3982.34,3775.51
3_1,0.91,21.98,30.32,0,0,0,0,3301.1,3128.33,4022.62,3812.98
3_2,0.01,20.79,24.6,0,0,0,0,3754.81,3657.4,3933.75,3837.98
3_2,0.11,20.79,28.81,0,0,0,0,3754.81,3657.4,4156.6,4071.32
3_2,0.21,20.79,30.9,0,0,0,0,3754.81,3657.4,4241.75,4157.08
3_2,0.31,20.79,32.2,0,0,0,0,3754.81,3657.4,4311.92,4222.78
3_2,0.41,20.79,33.1,0,0,0,0,3754.81,3657.4,4372.36,4284.18
3_2,0.51,20.79,33.8,0,0,0,0,3754.81,3657.4,4429.29,4341.21
3_2,0.61,20.79,34.35,0,0,0,0,3754.81,3657.4,4484.78,4393.68
3_2,0.71,20.79,34.83,0,0,0,0,3754.81,3657.4,4539.04,4444.02
3_2,0.81,20.79,35.27,0,0,0,0,3754.81,3657.4,4591.44,4494.6
3_2,0.91,20.79,35.64,0,0,0,0,3754.81,3657.4,4642.23,4543.5
3_3,0.01,6.88,8.2,0,0,0,0,3531.43,3736.69,3761.27,3919.36
3_3,0.11,6.88,9.84,0,0,0,0,3531.43,3736.69,3986.19,4101.13
3_3,0.21,6.88,10.66,0,0,0,0,3531.43,3736.69,4071.54,4175.27
3_3,0.31,6.88,11.14,0,0,0,0,3531.43,3736.69,4138.69,4242.3
3_3,0.41,6.88,11.5,0,0,0,0,3531.43,3736.69,4200.09,4302.35
3_3,0.51,6.88,11.82,0,0,0,0,3531.43,3736.69,4256.69,4358.23
3_3,0.61,6.88,12.03,0,0,0,0,3531.43,3736.69,4310.77,4411.04
3_3,0.71,6.88,12.2,0,0,0,0,3531.43,3736.69,4361.96,4462.46
3_3,0.81,6.88,12.39,0,0,0,0,3531.43,3736.69,4412.74,4512.2
3_3,0.91,6.88,12.51,0,0,0,0,3531.43,3736.69,4461.83,4561.37
3_4,0.01,23.44,27.46,0,0,0,0,3748.51,3814.46,3904.01,4003.78
3_4,0.11,23.44,32.61,0,0,0,0,3748.51,3814.46,4098.77,4189.69
3_4,0.21,23.44,34.32,0,0,0,0,3748.51,3814.46,4170.4,4267.74
3_4,0.31,23.44,35.59,0,0,0,0,3748.51,3814.46,4233.55,4331.27
3_4,0.41,23.44,36.42,0,0,0,0,3748.51,3814.46,4288.09,4391.48
3_4,0.51,23.44,37.09,0,0,0,0,3748.51,3814.46,4339.8,4446.98
3_4,0.61,23.44,37.47,0,0,0,0,3748.51,3814.46,4389.56,4501.07
3_4,0.71,23.44,37.79,0,0,0,0,3748.51,3814.46,4438.15,4551.84
3_4,0.81,23.44,38.28,0,0,0,0,3748.51,3814.46,4485.43,4601.32
3_4,0.91,23.44,38.42,0,0,0,0,3748.51,3814.46,4532.35,4649.93
3_6,0.01,36.13,42.58,0,0,0,0,4294.66,4244.57,4601.71,4521.46
3_6,0.11,36.13,49.56,0,0,0,0,4294.66,4244.57,4866.13,4796.36
3_6,0.21,36.13,52.06,0,0,0,0,4294.66,4244.57,4958.14,4891.37
3_6,0.31,36.13,53.53,0,0,0,0,4294.66,4244.57,5031.49,4966.33
3_6,0.41,36.13,54.81,0,0,0,0,4294.66,4244.57,5098.72,5034.24
3_6,0.51,36.13,55.71,0,0,0,0,4294.66,4244.57,5162.35,5098.99
3_6,0.61,36.13,56.37,0,0,0,0,4294.66,4244.57,5223.5,5160.77
3_6,0.71,36.13,56.91,0,0,0,0,4294.66,4244.57,5283.51,5221.17
3_6,0.81,36.13,57.53,0,0,0,0,4294.66,4244.57,5342.14,5280.11
3_6,0.91,36.13,57.95,0,0,0,0,4294.66,4244.57,5400.51,5337.88
