Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
1_4,circular,2.0,[np.float64(0.9602767074447309)],35.3832
1_4,circular,1.5,[np.float64(0.9599865013975843)],37.5679
1_4,circular,1.4,[np.float64(0.9600247323290859)],38.0459
1_4,circular,1.6,[np.float64(0.9600292841308534)],37.0877
1_4,circular,1.7,[np.float64(0.9600728924883795)],36.636700000000005
1_4,circular,1.3,[np.float64(0.9601160113117263)],38.539
1_4,circular,1.2,[np.float64(0.9602262804188304)],39.0392
1_4,circular,1.0,[np.float64(0.9606578834892865)],40.124
1_4,circular,1.1,[np.float64(0.9653304277403021)],39.5833
1_4,oval,0.9,[np.float64(1.0301631666369555)],48.86430000000001
1_4,oval,0.8,[np.float64(1.035871767918672)],48.9454
1_4,oval,1.9,[np.float64(1.0017471458457892)],47.252300000000005
1_4,oval,1.8,[np.float64(1.0033253391350332)],47.4163
1_4,oval,1.0,[np.float64(1.0253154609020743)],48.7354
1_4,oval,1.1,[np.float64(1.0211596097153257)],48.6
1_4,oval,1.3,[np.float64(1.0144105895753424)],48.285500000000006
1_4,oval,1.2,[np.float64(1.0175400087801518)],48.4557
1_4,oval,1.6,[np.float64(1.0070372274496788)],47.7596
1_4,oval,1.7,[np.float64(1.0050670650999032)],47.599700000000006
1_4,oval,1.5,[np.float64(1.0091772370926546)],47.961000000000006
1_4,oval,1.4,[np.float64(1.0116330426018934)],48.1299
1_4,oval,0.3,[np.float64(1.0918217805941575)],48.5483
1_4,oval,0.2,[np.float64(1.1097506914123463)],48.057
1_4,oval,2.0,[np.float64(1.0003453668395197)],47.0608
1_4,oval,0.0,[np.float64(1.250173104588784)],42.7363
1_4,oval,0.1,[np.float64(1.1292428329547488)],47.180699999999995
1_4,oval,0.5,[np.float64(1.0610278174860128)],48.980500000000006
1_4,oval,0.4,[np.float64(1.0746400633820072)],48.81190000000001
1_4,oval,0.6,[np.float64(1.0509931719770695)],49.0195
1_4,oval,0.7,[np.float64(1.0426833905946704)],49.0031
1_5,circular,0.8,[np.float64(2.2047043000005453)],46.0534
1_5,circular,0.9,[np.float64(2.4080604627808717)],45.2997
1_5,circular,1.8,[np.float64(1.5992848538857571)],39.419500000000006
1_5,circular,1.9,[np.float64(1.601359060835615)],38.8524
1_5,circular,1.4,[np.float64(2.2582218265596796)],41.811099999999996
1_5,circular,1.5,[np.float64(2.235975587486985)],41.1835
1_5,circular,1.7,[np.float64(1.5973067182283291)],39.9589
1_5,circular,1.6,[np.float64(1.617027427746621)],40.5625
1_5,circular,1.2,[np.float64(5.736019873501769)],43.1544
1_5,circular,1.3,[np.float64(5.597907545565684)],42.4806
1_5,circular,1.1,[np.float64(2.2688563949562197)],43.8416
1_5,circular,1.0,[np.float64(2.2722688178294432)],44.56400000000001
1_5,circular,0.7,[np.float64(2.357065550049426)],46.7908
1_5,circular,0.6,[np.float64(2.208506609134772)],47.5791
1_5,circular,0.4,[np.float64(2.4569442868607005)],49.1153
1_5,circular,0.5,[np.float64(1.6902736183622102)],48.344899999999996
1_5,circular,0.1,[np.float64(2.676443723821086)],50.7138
1_5,circular,0.0,[np.float64(2.06398632475417)],49.1008
1_5,circular,2.0,[np.float64(1.991388212892563)],38.3301
1_5,circular,0.2,[np.float64(2.1283277367855176)],50.4099
1_5,circular,0.3,[np.float64(5.408267185595995)],49.8156
1_5,oval,0.8,[np.float64(1.9548974103917756)],58.403400000000005
1_5,oval,0.9,[np.float64(1.9699315897549086)],58.464000000000006
1_5,oval,1.8,[np.float64(2.11143230245199)],58.1267
1_5,oval,1.9,[np.float64(2.1332192908322845)],58.06980000000001
1_5,oval,1.7,[np.float64(2.1073241731166266)],58.2126
1_5,oval,1.6,[np.float64(2.102587520800484)],58.29600000000001
1_5,oval,1.4,[np.float64(2.090802345124163)],58.42810000000001
1_5,oval,1.5,[np.float64(2.0970925851976228)],58.3626
1_5,oval,1.1,[np.float64(1.9933659196269709)],58.5341
1_5,oval,1.0,[np.float64(1.9825760648429895)],58.5238
1_5,oval,1.2,[np.float64(2.002567016429199)],58.51480000000001
1_5,oval,1.3,[np.float64(2.083534114771383)],58.481300000000005
1_5,oval,0.4,[np.float64(1.8103351634039038)],57.3353
1_5,oval,0.5,[np.float64(1.8336131408077934)],57.7632
1_5,oval,0.7,[np.float64(3.069054542232975)],58.258
1_5,oval,0.6,[np.float64(1.9187837729824122)],58.0491
1_5,oval,2.0,[np.float64(2.1964139072704674)],57.95140000000001
1_5,oval,0.2,[np.float64(1.6893403535739664)],55.920500000000004
