Mesh ID,Cross-section type,Pressure (MPa),Aspect Ratio,Pore Area (um^2)
idealised_final_3_2,oval,1.7,[np.float64(1.0193934847826982)],25.1838
idealised_final_1_8,circular,1.8,[np.float64(0.9353735463107761)],64.0834
idealised_final_2_6a,circular,1.2,[np.float64(0.9302369646106735)],20.3995
idealised_final_2_6a,oval,0.6,[np.float64(1.2544033961819432)],23.4676
idealised_final_3_2,oval,1.6,[np.float64(1.0238537215964438)],25.187200000000004
idealised_final_1_8,oval,1.4,[np.float64(1.01575131956955)],69.1068
idealised_final_3_2,oval,1.1,[np.float64(1.0530959463101903)],25.1646
idealised_final_2_7,oval,1.0,[np.float64(1.1191681425255098)],59.038900000000005
idealised_final_3_6,oval,1.9,[np.float64(1.188024260240158)],60.3495
idealised_final_2_7,oval,1.3,[np.float64(1.0939104878141455)],59.5653
idealised_final_1_6,oval,1.4,[np.float64(1.1095981505388217)],66.9619
idealised_final_3_2,circular,0.1,[np.float64(1.005380452819226)],22.372600000000002
idealised_final_2_3,circular,1.4,[np.float64(0.9441677777268788)],72.5184
idealised_final_1_3,circular,1.7,[np.float64(0.9288210193119855)],43.3333
idealised_final_1_5,circular,0.6,[np.float64(0.9565242063759386)],49.802
idealised_final_1_4,oval,1.2,[np.float64(1.0631660316495937)],47.7171
idealised_final_2_3,circular,0.1,[np.float64(0.9926739776410032)],74.2388
idealised_final_2_1,circular,1.6,[np.float64(0.9451464499519306)],71.519
idealised_final_1_8,oval,1.0,[np.float64(1.0368757635146386)],69.0357
idealised_final_3_4,oval,1.6,[np.float64(1.0279419218103607)],26.577400000000004
idealised_final_1_6,oval,1.3,[np.float64(1.1176399405407116)],66.717
idealised_final_1_8,circular,1.3,[np.float64(0.9428865979429729)],64.81569999999999
idealised_final_3_2,circular,1.2,[np.float64(1.0683646235417115)],22.6996
idealised_final_2_3,oval,2.0,[np.float64(1.054193072958046)],83.4472
idealised_final_1_5,circular,1.3,[np.float64(0.932382032923485)],48.6308
idealised_final_2_3,circular,1.9,[np.float64(0.9380495011207175)],71.819
idealised_final_3_7,oval,1.1,[np.float64(1.2929622298624128)],34.0268
idealised_final_3_6,oval,0.5,[np.float64(1.4475082653626203)],52.8991
idealised_final_3_7,circular,0.1,[np.float64(0.9881870956100631)],23.784900000000004
idealised_final_1_3,circular,0.9,[np.float64(0.9474607181850118)],44.52980000000001
idealised_final_3_2,oval,0.0,[np.float64(1.2483269480093817)],21.2955
idealised_final_1_6,circular,1.4,[np.float64(1.061858158828457)],55.487500000000004
idealised_final_2_1,oval,1.1,[np.float64(1.1056946862139068)],80.2339
idealised_final_3_6,circular,0.4,[np.float64(1.0133813818671729)],40.6174
idealised_final_3_6,circular,0.8,[np.float64(1.0384391766706433)],40.6522
idealised_final_2_7,circular,0.3,[np.float64(0.9903589042489692)],51.5458
idealised_final_1_4,circular,0.8,[np.float64(0.9576912027446722)],43.5862
idealised_final_2_1,oval,0.3,[np.float64(1.2284710002101962)],76.5081
idealised_final_1_4,circular,1.1,[np.float64(0.9476289620512751)],43.3253
idealised_final_1_8,oval,1.3,[np.float64(1.020018720889976)],69.0913
idealised_final_3_7,oval,0.4,[np.float64(1.4901709368862053)],30.614
idealised_final_3_6,oval,0.8,[np.float64(1.3448917755564096)],55.4807
idealised_final_1_8,oval,1.7,[np.float64(1.0050094699297474)],69.1903
