Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end, Volume_1_start, Volume_2_start, Volume_1_end, Volume_2_end
1_2,0.51,40.54,75,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4253.09,4478.1
1_2,0.52,40.54,75.26,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4258.78,4484.55
1_2,0.53,40.54,75.55,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4264.47,4491.08
1_2,0.54,40.54,75.85,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4270.14,4497.55
1_2,0.55,40.54,76.11,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4275.8,4503.94
1_2,0.56,40.54,76.45,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4281.58,4510.1
1_2,0.57,40.54,76.69,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4287.24,4516.44
1_2,0.58,40.54,76.97,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4293.19,4522.81
1_2,0.59,40.54,77.23,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4298.53,4529.39
1_2,0.6,40.54,77.48,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4304.07,4535.72
1_2,0.61,40.54,77.8,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4309.61,4542.14
1_2,0.62,40.54,78.03,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4314.78,4548.59
1_2,0.63,40.54,78.27,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4320.29,4554.85
1_2,0.64,40.54,78.61,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4325.84,4560.97
1_2,0.65,40.54,78.85,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4331.34,4567.29
1_2,0.66,40.54,79.08,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4336.83,4573.51
1_2,0.67,40.54,79.31,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4342.34,4579.79
1_2,0.68,40.54,79.53,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4347.81,4586.05
1_2,0.69,40.54,79.85,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4353.32,4592.22
1_2,0.7,40.54,80.18,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4358.93,4598.39
1_2,0.71,40.54,80.34,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4364.43,4604.5
1_2,0.72,40.54,80.54,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4369.97,4610.61
1_2,0.73,40.54,80.81,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4375.5,4616.72
1_2,0.74,40.54,81,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4381.01,4622.61
1_2,0.75,40.54,81.28,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4386.42,4628.7
1_2,0.76,40.54,81.45,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4391.79,4634.85
1_2,0.77,40.54,81.72,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4397.16,4640.95
1_2,0.78,40.54,81.98,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4402.57,4647.03
1_2,0.79,40.54,82.28,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4408.1,4653.1
1_2,0.8,40.54,82.45,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4413.42,4659.25
1_2,0.81,40.54,82.66,4.90748,4.90748,14.314,14.314,3463.16,3596.71,4418.78,4665.27
