Mesh,Pressure,Area_start,Area_end,Width_start,Width_end,Length_start,Length_end, Volume_1_start, Volume_2_start, Volume_1_end, Volume_2_end
2_1,0.81,73.51,105.62,0,0,0,0,2982.92,2924.95,3663.09,3631.71
2_1,0.91,73.51,107.66,0,0,0,0,2982.92,2924.95,3703.38,3672.44
2_3,0.01,73.35,80.98,0,0,0,0,3178.74,3569.28,3343.56,3842.55
2_3,0.11,73.35,91.72,0,0,0,0,3178.74,3569.28,3491.95,4051.07
2_3,0.21,73.35,97.07,0,0,0,0,3178.74,3569.28,3555.29,4144.36
2_3,0.31,73.35,101.29,0,0,0,0,3178.74,3569.28,3607.31,4216.96
2_3,0.41,73.35,105.04,0,0,0,0,3178.74,3569.28,3654.46,4280.81
2_3,0.51,73.35,108.26,0,0,0,0,3178.74,3569.28,3699.97,4340.63
2_3,0.61,73.35,111.23,0,0,0,0,3178.74,3569.28,3742.99,4398.54
2_3,0.71,73.35,113.94,0,0,0,0,3178.74,3569.28,3785.27,4454.19
2_3,0.81,73.35,116.52,0,0,0,0,3178.74,3569.28,3826.9,4508.6
2_3,0.91,73.35,118.96,0,0,0,0,3178.74,3569.28,3867.98,4562.29
2_4,0.01,17.28,19.36,0,0,0,0,3237.84,3125.24,3569.46,3518.74
2_4,0.11,17.28,23.03,0,0,0,0,3237.84,3125.24,3805.39,3758.45
2_4,0.21,17.28,24.88,0,0,0,0,3237.84,3125.24,3896.56,3835.23
2_4,0.31,17.28,26.3,0,0,0,0,3237.84,3125.24,3967.99,3906.7
2_4,0.41,17.28,27.38,0,0,0,0,3237.84,3125.24,4034.45,3966.99
2_4,0.51,17.28,28.41,0,0,0,0,3237.84,3125.24,4097.99,4024.63
2_4,0.61,17.28,29.2,0,0,0,0,3237.84,3125.24,4156.47,4083.34
2_4,0.71,17.28,30.15,0,0,0,0,3237.84,3125.24,4213.47,4138.72
2_4,0.81,17.28,30.93,0,0,0,0,3237.84,3125.24,4270.08,4193.02
2_4,0.91,17.28,31.74,0,0,0,0,3237.84,3125.24,4327.06,4245.75
2_6a,0.01,20.99,26.92,0,0,0,0,3048.1,3228.79,3460.74,3733.71
2_6a,0.11,20.99,32.77,0,0,0,0,3048.1,3228.79,3685.53,3974.14
2_6a,0.21,20.99,35.54,0,0,0,0,3048.1,3228.79,3777.35,4059.42
2_6a,0.31,20.99,37.64,0,0,0,0,3048.1,3228.79,3846.27,4128.88
2_6a,0.41,20.99,39.6,0,0,0,0,3048.1,3228.79,3908.31,4190.89
2_6a,0.51,20.99,41.36,0,0,0,0,3048.1,3228.79,3965.67,4249.84
2_6a,0.61,20.99,42.86,0,0,0,0,3048.1,3228.79,4019.31,4307.05
2_6a,0.71,20.99,44.29,0,0,0,0,3048.1,3228.79,4071.25,4362.54
2_6a,0.81,20.99,45.53,0,0,0,0,3048.1,3228.79,4122.76,4416.72
2_6a,0.91,20.99,46.74,0,0,0,0,3048.1,3228.79,4173.35,4470.4
2_6b,0.01,13.99,15.15,0,0,0,0,3113.3,2725.99,3460.86,3062.36
2_6b,0.11,13.99,17.04,0,0,0,0,3113.3,2725.99,3683.33,3243.58
2_6b,0.21,13.99,18.25,0,0,0,0,3113.3,2725.99,3777.12,3311.59
2_6b,0.31,13.99,19.21,0,0,0,0,3113.3,2725.99,3853.39,3365.73
2_6b,0.41,13.99,19.94,0,0,0,0,3113.3,2725.99,3919.04,3414.62
2_6b,0.51,13.99,20.58,0,0,0,0,3113.3,2725.99,3980.89,3460.57
2_6b,0.61,13.99,21.08,0,0,0,0,3113.3,2725.99,4038.63,3504.98
