Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
566,1595.17,1595.17,0.418769,0.301176,0.294431
589,1608.65,1608.65,12.0261,-9.31486,0.815879


Area HeatMap results for mesh 1
Signal range: 1595.17-1608.65 µm²
