Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
177,3317.17,3317.17,-4.69818,7.66721,-4.53901
45,3520.83,3520.83,10.6031,4.1253,-3.92734


Volume HeatMap results for mesh 1
Signal range: 3317.17-3520.83 µm³
