Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
18,1571.47,1571.47,4.52693,2.8198,0.184829
186,1579.21,1579.21,1.4671,-11.3739,-0.104871


Area HeatMap results for mesh 1
Signal range: 1571.47-1579.21 µm²
