Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
176,1555.22,1555.22,8.50771,-2.20264,2.93924
179,1563.68,1563.68,4.51088,-14.9675,0.248677


Area HeatMap results for mesh 1
Signal range: 1555.22-1563.68 µm²
