Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
176,3531.43,3531.43,8.51224,-1.96815,3.03117
179,3736.69,3736.69,4.39914,-15.2478,0.288467


Volume HeatMap results for mesh 1
Signal range: 3531.43-3736.69 µm³
