Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
86,3581.45,3581.45,-19.2653,-17.4199,3.59643
209,4073.96,4073.96,-25.9452,-30.0626,2.18994


Volume HeatMap results for mesh 1
Signal range: 3581.45-4073.96 µm³
